,nickname,score,review,stay_date
0,Park,50,시설도 좋도 깨끗하고 서비스가 너무 좋다 높은방으로 배정해줘서 뷰도 굉장히 좋았다 우리상황에 맞춰서 편의도 많이 봐줬다,2021-06-01
1,Mochi,50,직원들 모두 친절하시고 룸 상태도 깨끗하고 조용해서 좋습니다. 무엇보다도 위치부분에서 대만족합니다. 강력추천입니다.,2021-06-01
2,이가현,50,"방도 깨끗하고, 직원들도 너무 친절했습니다 무엇보다 호텔의 위치가 너무 좋아서 서울에 여기저기 볼일이 많았는데, 어디든 가기 편했어요!! 또 놀랐던 점은, 슬라이딩 도어가 화장실 + 현관과 침대가 있는 공간을 분리해줘서 만족도가 더 컸어요! 베드 옆에 있는 소파와 가져온 짐들 올려 놓을 수 있는 벤치 같은게 있는 것도 좋았습니다",2021-05-01
3,jakekim,50,직원들도 너무 친정하고 깕끔해ㅛㅓ 가성비 그자체 강남에 이만한 호텔은 없는것 같습니다. 카페라는 곳은 커피숍인줄 알았더닠쿠부페더라구요 간김에 투숙객 할인 받아 먹었는데 아주 맛있게 잘 먹었습니닼 단점이라면 지하철역과 조금 거리갘ㅌㅌ,2021-05-01
4,비갠오후,40,며칠전 예약 후 오늘 점심뷔페 잘 먹고 왔습니다. 인테리어도 상당히 깔끔하고 북적거리는것 없이 편안히 잘 먹고 왔습니다. 코로나 때문에 손님들 많으면 어쩌지 했는데 많지도 적지도 않게 아주 좋은 분위기였구요. 무엇보다 남자직원 (검은정장에 넥타이 하시고 안경끼신분) 테이블 치울때 꼭 “실례하겠습니다”라는 멘트 그리고 계산할때도 인사말투도 아주 공손해서 이름좀 볼까 했는데 못봤네요. 직원하고 몇마디 나눠보면 친절하고 호텔리어다 느낌드는데 딱 이분이네요. 다음엔 객실도 한번 투숙 해보고 싶네요. 힘든 코로나시기지만 모두 화이팅 하세요^^,2021-03-01
5,Sososo,50,직원들이 일단 너무 친절합니다. 오픈한지 오래 되었다지만 깔끔하게 유지중인듯합니다. 자주 방문하고 가성비 좋은 호텔입니다,2021-01-01
6,ahmin0331,40,늦은 시간 체크인 하게 되었는데 날짜를 착각해 워크인으로 들어갔으나 상황 설명을 하니 취소 도와주셔서 감사했습니다. 객실은 안락하고 굉장히 좋았습니다.,2020-09-01
7,Gregoria,50,"교육차 서울 출장을 왔다가 늦은 시간 예약과 체크아웃 했습니다. 핸드폰 충전기를 가져오지 않아서 곤란했었는데 프론트 데스크에서 대여받을 수 있었습니다. 문의사항이나 요청사항도 친절히 응대해 주셨고, 마침 객실에 여유가 있다고 요청하지 않은 객실 업그레이드도 해주었습니다.  아쉽게도 점심뷔페는 예약제로 진행하고 있어서 만석이라 이용하지 못했지만, 인원을 제한하고 명단을 작성하는 것도 믿음이 갔습니다. 객실은 깨끗하고 조용했습니다. 다음번에도 이용할 생각이 있고, 주변에도 추천합니다.",2020-06-01
8,종훈 김,50,1박 했습니다. 강남 부근에서 숙박하기 좋은 호텔입니다. 가성비 갑. 방 깨끗하고 딱 필요한 것들 다있어요. 샤워박스 욕조 두 타입중 하나 선택해야 합니다.,2020-05-01
9,김영태,50,주차장이 넓고 객실이 깨끗합니다. 주변에 음식점들이 많고 편의시설이 많습니다. 프론트 데스크 직원도 문의사항이나 요청사항에 대해 친절하게 처리해 주었습니다.,2020-05-01
10,pilgrim,40,서울 강남 한복판에서 조용히 잘 쉬었네요. 연식은 조금 느껴지지만 군더더기 없이 깔끔합니다 어메니티가 아베다인 것도 좋았습니다,2020-04-01
11,hansangmin,50,너무 편하고 깨끗해요 직원분들도 친절하시고 신라스테이 처음 와봤는데 호텔갈일있으면 여기 올거같아요 다음에 꼭 재방문하겠습니다!,2020-04-01
12,jiwon12,50,방도 너무 깔끔하고 뷰도 이쁘고 일회용품도 위생적으로 구비되어있어서 좋아요 다음에 또 방문할거 같아요 역삼호텔은 신라스테이♥️,2020-04-01
13,소철민,50,매번 서울 올때마다 들리는 곳인데요 직원분들도 친절하시구 일단 조용하고 깨끗하구요 침대도 편해서 매번 꿀잠자네요 매번 잘쉬다갑니다,2020-04-01
14,jwon.co,50,서울에 출장 올때마다 늘 들립니다. 깨끗함은 물론이고 익숙하고 편안한 느낌 덕분에 자주 오는것 같네요. 오늘도 잘 쉬다 갑니다~,2020-04-01
15,방발이,40,"문의전화도 다 친절하게 받아주시고, 고객이 요구하는 커스텀들을 너무 친절하게 응대해주셔서 너무 즐거운 시간 보냈습니다.",2020-04-01
16,DANIEL,50,도심에 위치하여 교통 편하고 주변에 편의시설이 잘 되어 있습니다 내부는 깔끔하고 전망이 좋네요 프론트 직원들이 친절합니다,2020-04-01
17,royroe,50,매번 서울출장 올때마다 들리는데 위치도좋고 깔끔해서 좋네요 다들 친절하시고 조식메뉴도 너무 맛있습니다 추천해드려요,2020-04-01
18,Mi rye,50,객실이 너무깨끗하고 직원분들 서비스가 친절해서 좋았어요! 다음에 또 방문하려구요~~ 어메니티도 아베다여서 너무 맘에들어요 ㅎㅎ,2020-04-01
19,jeong,50,침구도좋구 직원들도 너무 친절해서 잘쉬다 갑니다~~ 다음에 또 방문의사 천프로입니당~다들수고하시고~~코로나.조심하세요~~,2020-04-01
20,Jieun L,30,"위치나쁘지않고룸컨디션도괜찮다고생각햇는데,, 침대밑에먼지가득에앞투숙객이잊고간짐들도보이고..실망스러워요ㅜ",2020-04-01
21,babo,50,"방전체가 아주 깔끔함, 들어오면 기본적으로 냄새가 나지않음 침구도 잘정돈 되어있음 화장실에 샤워부스에 물조금 새는거 말고는 아주좋음",2020-03-01
22,Sejin P,50,"1박으로 쉬어갑니다.  수건이나, 물이 더 필요할 때마다 요청드렸는데 매번 친절하게 제공해주셔서 좋았습니다.  방도 안락하고 너무 좋아서 잘 쉬다 갑니다.  이벤트로, 레이트 체크아웃이랑 조식할인이 제공되니깐, 참고하시어 이용하세요!",2020-03-01
23,kimkyongmi,50,업무차 방문했습니다. 프런트 직원분들도 응대가 좋고 편안하게 안내를 받았구요. 주차의 경우 정문이 아니고 후문으로 들어가야하는데 주차장 시설도 매우 넉넉하네요. 더블룸 인데 객실이야 깔끔하고 베드도 좋군요. 참고로 어메니티도 구성이 괜찮아요! 재이용예정입니다,2020-03-01
24,csw,50,코로나 대비 방역도 좋았고. 너무 편하게 쉬다갑니다. 조식도 행사해서 저렴하게 먹었습니다. 기회가 된다면 다시 재방문 하겠습니다.,2020-03-01
